vertex_index,distance,angle,elev_8,x,y,elev_Ap,relief,velocity
185,793.54328228214740,233.76669897941261,5283.313,486681.856,3106641.528,5319.000,41.064,4.812
186,798.17695134308804,233.76669897941261,5283.890,486678.119,3106638.789,5319.000,41.620,4.812
187,802.81062040370659,233.76669897919993,5283.890,486674.381,3106636.051,5319.000,41.620,4.812
188,807.44428946460027,235.67639725073460,5285.595,486670.643,3106633.312,5319.000,38.283,4.812
189,811.52536593718355,237.58609552437247,5284.439,486667.198,3106631.124,5322.000,39.477,4.812
190,815.60644240971760,237.58609552437247,5284.439,486663.753,3106628.937,5321.000,39.477,4.812
191,819.68751888230076,247.21812520300313,5285.678,486660.308,3106626.749,5321.000,35.916,4.812
192,824.05300513735381,256.85015487852593,5285.678,486656.057,3106625.756,5321.000,35.916,4.812
193,828.41849139256965,256.85015487563714,5286.485,486651.806,3106624.763,5321.000,32.977,4.812
194,832.78397764778526,256.85015487852593,5284.260,486647.555,3106623.770,5321.000,32.632,4.812
195,837.14946390283819,266.28728663700241,5284.260,486643.304,3106622.776,5321.000,32.632,4.812
196,840.53486868018013,275.72441839656011,5284.260,486639.935,3106623.114,5321.000,32.632,4.812
197,843.92027345751035,275.72441839656011,5284.740,486636.567,3106623.452,5321.000,31.401,4.812
198,847.30567823485228,268.13714259848933,5284.740,486633.198,3106623.789,5321.000,31.401,4.812
199,851.81149313995695,260.54986680730912,5285.323,486628.753,3106623.050,5322.000,30.817,4.812
200,856.31730804498523,249.21328923493243,5285.323,486624.309,3106622.310,5322.000,30.817,4.812
201,860.94031727813012,237.87671165719149,5286.268,486620.393,3106619.852,5322.000,30.535,4.812
202,865.56332651152240,237.87671165719149,5286.268,486616.478,3106617.393,5323.000,30.535,4.812
203,870.18633574466719,244.68798610029165,5285.507,486612.563,3106614.935,5323.000,30.258,4.812
204,875.17162994785394,251.49926053841023,5285.507,486607.835,3106613.353,5323.000,30.258,4.812
205,880.15692415118826,251.49926053841023,5285.970,486603.108,3106611.771,5324.000,30.068,4.812
206,885.14221835437525,260.79709599606230,5286.168,486598.380,3106610.189,5324.000,30.068,4.812
207,888.94896101084578,270.09493145117671,5286.168,486594.573,3106610.196,5324.000,30.068,4.812
208,892.75570366731642,270.09493145117671,5286.392,486590.766,3106610.202,5325.000,30.068,4.812
209,896.56244632378707,253.26499109790197,5286.392,486586.960,3106610.208,5325.000,30.068,4.812
210,901.31402808107555,236.43505074228784,5286.476,486583.000,3106607.581,5325.000,34.390,4.812
211,906.06560983862164,244.73072113151653,5286.476,486579.041,3106604.954,5326.000,34.390,4.812
212,909.40605395333557,253.02639152308461,5286.476,486575.846,3106603.979,5326.000,34.390,1.464
213,912.74649806804939,250.37368030584025,5286.858,486572.651,3106603.004,5326.000,37.178,1.464
214,917.29276185701758,247.72096908588065,5286.858,486568.444,3106601.280,5326.000,37.178,1.168
