vertex_index,distance,angle,elev,x,y,relief,velocity
295,1047.47679333871952,176.49586741555129,95.930,999587.836,-606474.503,14.211,20.764
296,1051.76432334597416,155.96350116281431,96.422,999587.606,-606478.784,14.289,20.764
297,1054.74791019111262,128.85246564008477,96.672,999589.929,-606480.656,14.383,20.764
298,1057.73149703616036,112.68914006036513,96.609,999592.253,-606482.527,14.406,20.764
299,1061.74147964000372,96.52581447984981,96.352,999596.237,-606482.983,14.477,20.732
300,1065.75146224396281,106.12079426490681,96.648,999600.221,-606483.439,14.367,20.732
301,1070.05852687541596,138.87014954051125,96.734,999604.101,-606485.308,14.133,20.732
302,1074.72907094152310,173.29690479384246,96.445,999605.543,-606489.750,14.133,20.732
303,1079.08633280540153,188.69830257908157,97.063,999605.196,-606494.094,13.953,20.732
304,1083.09241664572528,192.82732060125747,97.352,999604.306,-606498.000,13.711,20.732
305,1087.09850048616249,190.65003382949880,97.930,999603.417,-606501.906,13.070,20.732
306,1091.60377399484400,188.47274705876617,98.484,999602.753,-606506.362,12.602,20.732
307,1096.10904750342752,181.68644041791251,98.758,999602.089,-606510.818,12.797,20.732
308,1100.10190900322050,174.90013377712376,99.031,999602.444,-606514.795,13.023,20.732
309,1104.09477050311921,181.13289589082373,99.320,999602.799,-606518.772,13.320,20.732
310,1106.88477261638309,187.36565800361743,99.453,999602.441,-606521.539,13.453,20.732
311,1109.67477472964697,176.71893735250907,99.680,999602.084,-606524.306,13.617,20.732
312,1112.68253586376522,166.07221670140069,99.758,999602.808,-606527.225,13.633,20.732
313,1115.69029699788348,153.13040350609313,99.836,999603.532,-606530.145,13.523,20.732
314,1118.53886047635183,140.18859031168489,99.719,999605.355,-606532.333,13.313,20.732
315,1121.38742395474560,165.47603376370333,99.688,999607.179,-606534.521,12.977,20.732
316,1126.09249244060811,212.01055252930087,99.633,999606.301,-606539.143,12.297,20.732
317,1129.48388608193864,233.25762784357957,99.891,999603.583,-606541.172,12.031,20.732
318,1132.87527972343219,231.16584447773107,100.234,999600.865,-606543.201,11.719,20.732
319,1136.93173574473144,206.79874589514583,101.008,999597.800,-606545.858,11.328,20.732
320,1140.54723992782942,184.52343067728967,101.258,999597.515,-606549.462,10.633,20.732
321,1144.16274411091831,184.52343067728967,101.516,999597.230,-606553.067,9.938,20.732
322,1147.77824829401629,182.48910752444425,101.719,999596.945,-606556.671,10.102,20.732
323,1152.20882296111154,180.45478437067925,101.852,999596.910,-606561.101,10.227,20.732
324,1156.63939762820678,178.44227528272810,101.906,999596.875,-606565.532,9.977,20.732
325,1161.39518052591779,176.42976619482070,101.914,999597.171,-606570.278,9.797,20.732
326,1166.15096342374500,165.10173481903408,102.000,999597.467,-606575.025,9.719,20.732
327,1170.10825947356443,153.77370344358744,102.031,999599.216,-606578.575,9.578,20.732
328,1174.06555552322811,153.77370344358744,102.250,999600.965,-606582.125,9.289,20.732
329,1178.02285157304755,145.86235457113554,102.297,999602.713,-606585.675,9.133,20.732
330,1182.71576175882160,124.90298993192226,102.555,999605.857,-606589.160,8.742,20.732
331,1187.37007499183142,111.85497416477727,102.266,999610.176,-606590.892,8.484,20.732
332,1192.02438822484123,104.06564757652789,102.188,999614.496,-606592.625,8.266,21.737
333,1196.20624458023826,96.27632098898403,102.203,999618.653,-606593.082,8.289,21.737
334,1200.38810093576376,101.87920714159129,102.414,999622.810,-606593.539,8.289,21.737
