vertex_index,distance,angle,elev,x,y,Velocity,relief
49,165.97976544994319,12.75975066763761,4594.692,-1483979.637,784673.087,164.786,24.618
50,168.98485172552753,12.86068240583186,4594.128,-1483978.973,784676.018,164.786,23.918
51,172.22428746281852,12.96161414604688,4594.128,-1483978.247,784679.175,164.786,23.918
52,175.46372320027518,12.60877935910019,4594.128,-1483977.520,784682.332,164.786,23.918
53,179.47676122259429,8.84133041405513,4593.357,-1483976.668,784686.253,164.786,22.979
54,182.15557060611852,5.42671625773235,4593.357,-1483976.415,784688.920,164.786,22.979
55,184.83437998964277,348.25770571410652,4592.753,-1483976.162,784691.587,164.786,21.866
56,188.92671123193489,331.08869517048066,4592.753,-1483978.140,784695.169,164.786,21.866
57,193.01904247422704,331.02472592211575,4592.753,-1483980.119,784698.752,164.786,21.866
58,196.15552079601463,330.96075667561013,4593.214,-1483981.641,784701.494,164.786,20.876
59,199.29199911768919,320.10094944406904,4592.915,-1483983.163,784704.236,164.786,23.071
60,203.01559596832661,306.75583907881145,4592.915,-1483986.047,784706.591,164.786,23.071
61,205.56961685018447,304.27053594803317,4592.979,-1483988.158,784708.030,164.786,22.118
62,208.12363773210788,304.90850058810730,4592.979,-1483990.269,784709.468,164.786,22.118
63,212.33040277518813,308.10744783200994,4593.803,-1483993.691,784711.913,164.786,24.016
64,216.23863636222188,313.13248412496085,4593.803,-1483996.656,784714.460,164.786,24.016
65,219.07171185092145,315.59653781132226,4593.515,-1483998.638,784716.484,164.786,23.297
66,221.90478733978392,319.96324331267482,4594.912,-1484000.620,784718.508,142.723,24.572
67,223.80474435679295,328.50667022696069,4594.912,-1484001.728,784720.052,142.723,24.572
68,227.03200636026671,332.68339163637563,4594.912,-1484003.209,784722.919,142.723,24.572
69,230.25926836384727,335.63864550331323,4594.438,-1484004.690,784725.787,142.723,24.123
70,233.31871956045677,338.59389937208721,4594.438,-1484005.807,784728.635,142.723,24.123
71,236.37817075706619,350.66528869840653,4594.438,-1484006.924,784731.483,142.723,24.123
72,241.27617427180792,357.80543801152572,4593.998,-1484006.690,784736.376,142.723,23.583
73,243.90726878723012,352.87419799580988,4593.998,-1484007.016,784738.987,142.723,23.583
74,246.53836330268123,344.80709103690498,4594.668,-1484007.343,784741.597,142.723,24.298
75,249.79820992911169,336.73998408091950,4594.668,-1484008.630,784744.592,142.723,24.298
76,253.05805655564905,343.83047593944679,4594.668,-1484009.917,784747.587,142.723,24.298
77,256.04997049496149,350.92096779757003,4593.735,-1484010.389,784750.542,142.723,23.671
78,259.04188443427392,344.24753169135170,4593.735,-1484010.861,784753.496,142.723,23.671
79,261.60113849758255,337.57409558463610,4593.735,-1484011.838,784755.862,142.723,23.671
80,264.16039256078358,340.98168464954944,4593.049,-1484012.814,784758.227,142.723,22.827
81,267.98925528628877,344.38927371519435,4593.049,-1484013.844,784761.915,142.723,22.827
82,271.81811801190611,341.72132099758238,4593.049,-1484014.875,784765.603,142.723,22.827
83,274.37189409626012,339.05336828217531,4593.834,-1484015.788,784767.988,142.723,23.708
84,276.92567018053086,327.61815662225365,4593.834,-1484016.701,784770.373,142.723,23.708
85,279.99067271052400,309.47315972143321,4593.834,-1484018.823,784772.584,142.723,23.708
86,284.03568472271110,298.82850567374697,4593.092,-1484022.224,784774.773,142.723,23.293
